geneticname,breedid,age,dayfeedperbird,targetweight,note,last_userid,created_date,last_updated,is_active
CornishXRock,Male,60,0.529,10.314,,,,,TRUE
CornishXRock,Male,61,0.529,10.443,,,,,TRUE
CornishXRock,Male,62,0.529,10.571,,,,,TRUE
CornishXRock,Male,63,0.529,10.7,,,,,TRUE
CornishXRock,Male,64,0.529,10.786,,,,,TRUE
CornishXRock,Male,65,0.529,10.871,,,,,TRUE
CornishXRock,Male,66,0.529,10.957,,,,,TRUE
CornishXRock,Male,67,0.529,11.043,,,,,TRUE
CornishXRock,Male,68,0.529,11.129,,,,,TRUE
CornishXRock,Male,69,0.529,11.214,,,,,TRUE
CornishXRock,Male,70,0.529,11.3,,,,,TRUE
